"","region","exam_name","exam_type","language","file_url","parent"
"1","National","Barber","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_national_theory_2023_11_09.html","Barber"
"2","National","Barber","Written Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_national_written_practical_2023_11_09.html","Barber"
"3","National","Barber 1 (No Chemical)","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)_national_practical_2023_11_09.html","Barber 1 (No Chemical)"
"4","National","Barber 1 (No Chemical)","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)_national_theory_2023_11_09.html","Barber 1 (No Chemical)"
"5","National","Barber 1 (No Chemical)-Barber Styling Blow Dry Styling","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)-barber_styling_blow_dry_styling_national_additional_section_2023_11_09.html","Barber 1 (No Chemical)"
"6","National","Barber 1 (No Chemical)-Barber Styling Blow Dry Styling","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)-barber_styling_blow_dry_styling_national_additional_section_2023_11_09.html","Barber Styling"
"7","National","Barber 1 (No Chemical)-Barber Styling Cleansing Facial With Massage","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)-barber_styling_cleansing_facial_with_massage_national_additional_section_2023_11_09.html","Barber 1 (No Chemical)"
"8","National","Barber 1 (No Chemical)-Barber Styling Cleansing Facial With Massage","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)-barber_styling_cleansing_facial_with_massage_national_additional_section_2023_11_09.html","Barber Styling"
"9","National","Barber 1 (No Chemical)-Barber Styling Thermal Curling","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)-barber_styling_thermal_curling_national_additional_section_2023_11_09.html","Barber 1 (No Chemical)"
"10","National","Barber 1 (No Chemical)-Barber Styling Thermal Curling","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_1_(no_chemical)-barber_styling_thermal_curling_national_additional_section_2023_11_09.html","Barber Styling"
"11","National","Barber Styling","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_styling_national_theory_2023_11_09.html","Barber Styling"
"12","National","Barber Styling","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/barber_styling_national_practical_2023_11_09.html","Barber Styling"
"13","National","Blow Dry Styling","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/blow_dry_styling_national_theory_2023_11_09.html","Blow Dry Styling"
"14","National","Blow Dry Styling","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/blow_dry_styling_national_practical_2023_11_09.html","Blow Dry Styling"
"15","National","Body Piercing","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/body_piercing_national_theory_2023_11_09.html","Body Piercing"
"16","National","Body Piercing","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/body_piercing_national_practical_2023_11_09.html","Body Piercing"
"17","National","Cosmetology","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_national_theory_2023_11_09.html","Cosmetology"
"18","National","Cosmetology","Written Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_national_written_practical_2023_11_09.html","Cosmetology"
"19","National","Cosmetology","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_national_practical_2023_11_09.html","Cosmetology"
"20","National","Cosmetology Basic Facial","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_basic_facial_national_additional_section_2023_11_09.html","Cosmetology"
"21","National","Cosmetology Hair Removal of the Eyebrows","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_hair_removal_of_the_eyebrows_national_additional_section_2023_11_09.html","Cosmetology"
"22","National","Cosmetology Hair Removal of Upper Lip with Hard Wax","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_hair_removal_of_upper_lip_with_hard_wax_national_additional_section_2023_11_09.html","Cosmetology"
"23","National","Cosmetology Manicure and Polish Application","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_manicure_and_polish_application_national_additional_section_2023_11_09.html","Cosmetology"
"24","National","Cosmetology Nail Tip Application and Blending","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_nail_tip_application_and_blending_national_additional_section_2023_11_09.html","Cosmetology"
"25","National","Cosmetology Sculptured Nail","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/cosmetology_sculptured_nail_national_additional_section_2023_11_09.html","Cosmetology"
"26","National","Electrology","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/electrology_national_theory_2023_11_09.html","Electrology"
"27","National","Electrology","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/electrology_national_practical_2023_11_09.html","Electrology"
"28","National","Esthetics","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_national_practical_2023_11_09.html","Esthetics"
"29","National","Esthetics","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_national_theory_2023_11_09.html","Esthetics"
"30","National","Esthetics","Written Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_national_written_practical_2023_11_09.html","Esthetics"
"31","National","Esthetics Particle Microderm","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_particle_microderm_national_additional_section_2023_11_09.html","Esthetics"
"32","National","Esthetics Eyelash Enhancement","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_eyelash_enhancement_national_additional_section_2023_11_09.html","Esthetics"
"33","National","Esthetics Hair Removal of the Upper Lip with Hard Wax","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_hair_removal_of_the_upper_lip_with_hard_wax_national_additional_section_2023_11_09.html","Esthetics"
"34","National","Esthetics Advanced Practice","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_advanced_practice_national_theory_2023_11_09.html","Esthetics Advanced Practice"
"35","National","Esthetics Advanced Practice","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_advanced_practice_national_practical_2023_11_09.html","Esthetics Advanced Practice"
"36","National","Esthetics Combined Practice","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/esthetics_combined_practice_national_theory_2023_11_09.html","Esthetics Combined Practice"
"37","National","Hair Design","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/hair_design_national_practical_2023_11_09.html","Hair Design"
"38","National","Hair Design","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/hair_design_national_theory_2023_11_09.html","Hair Design"
"39","National","Hair Removal","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/hair_removal_national_practical_2023_11_09.html","Hair Removal"
"40","National","Hair Removal","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/hair_removal_national_theory_2023_11_09.html","Hair Removal"
"41","National","Hair Removal Underarm Using Sugar Paste","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/hair_removal_underarm_using_sugar_paste_national_additional_section_2023_11_09.html","Hair Removal"
"42","National","Instructor","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/instructor_national_practical_2023_11_09.html","Instructor"
"43","National","Instructor","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/instructor_national_theory_2023_11_09.html","Instructor"
"44","National","Manager","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/manager_national_theory_2023_11_09.html","Manager"
"45","National","Nail Technology","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/nail_technology_national_theory_2023_11_09.html","Nail Technology"
"46","National","Nail Technology","Written Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/nail_technology_national_written_practical_2023_11_09.html","Nail Technology"
"47","National","Nail Technology","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/nail_technology_national_practical_2023_11_09.html","Nail Technology"
"48","National","Permanent Cosmetics","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/permanent_cosmetics_national_theory_2023_11_09.html","Permanent Cosmetics"
"49","National","Natural Hair Styling","Practical","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/natural_hair_styling_national_practical_2023_11_09.html","Natural Hair Styling"
"50","National","Natural Hair Styling Flat Iron Styling","Additional Section","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/natural_hair_styling_flat_iron_styling_national_additional_section_2023_11_09.html","Natural Hair Styling"
"51","National","Natural Hair Styling","Theory","English","https://syzdekbr.github.io/prov_nic_cib_website/docs/cib_files/natural_hair_styling_national_theory_2023_11_09.html","Natural Hair Styling"
"52",NA,"Barber","Theory","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Barber_Theory-CIB_KOR_Eff.-6.1.2018-v.3.1.20.f-1.pdf","Barber"
